,코드,종목명
0,005930,삼성전자
1,000660,SK하이닉스
2,207940,삼성바이오로직스
3,035420,NAVER
4,051910,LG화학
5,005380,현대차
6,068270,셀트리온
7,006400,삼성SDI
8,012330,현대모비스
9,028260,삼성물산
10,051900,LG생활건강
11,017670,SK텔레콤
12,005490,POSCO
13,055550,신한지주
14,105560,KB금융
15,035720,카카오
16,000270,기아차
17,015760,한국전력
18,036570,엔씨소프트
19,034730,SK
20,018260,삼성에스디에스
21,003550,LG
22,032830,삼성생명
23,033780,KT&G
24,096770,SK이노베이션
25,066570,LG전자
26,009150,삼성전기
27,090430,아모레퍼시픽
28,091990,셀트리온헬스케어
29,000810,삼성화재
30,086790,하나금융지주
31,010130,고려아연
32,010950,S-Oil
33,251270,넷마블
34,009540,한국조선해양
35,316140,우리금융지주
36,011170,롯데케미칼
37,030200,KT
38,032640,LG유플러스
39,018880,한온시스템
40,024110,기업은행
41,002790,아모레G
42,034220,LG디스플레이
43,021240,코웨이
44,035250,강원랜드
45,086280,현대글로비스
46,267250,현대중공업지주
47,000720,현대건설
48,097950,CJ제일제당
49,271560,오리온
50,029780,삼성카드
51,078930,GS
52,028300,에이치엘비
53,010140,삼성중공업
54,003670,포스코케미칼
55,071050,한국금융지주
56,180640,한진칼
57,011070,LG이노텍
58,008770,호텔신라
59,004020,현대제철
60,161390,한국타이어앤테크놀로지
61,128940,한미약품
62,000120,CJ대한통운
63,012750,에스원
64,004990,롯데지주
65,016360,삼성증권
66,009830,한화솔루션
67,005830,DB손해보험
68,139480,이마트
69,035760,CJ ENM
70,028050,삼성엔지니어링
71,005940,NH투자증권
72,000100,유한양행
73,012510,더존비즈온
74,023530,롯데쇼핑
75,241560,두산밥캣
76,007070,GS리테일
77,036460,한국가스공사
78,282330,BGF리테일
79,047810,한국항공우주
80,000210,대림산업
81,003410,쌍용양회
82,004170,신세계
83,001040,CJ
84,042660,대우조선해양
85,081660,휠라홀딩스
86,263750,펄어비스
87,020150,일진머티리얼즈
88,030000,제일기획
89,008560,메리츠종금증권
90,253450,스튜디오드래곤
91,006360,GS건설
92,003490,대한항공
93,032500,케이엠더블유
94,011790,SKC
95,138930,BNK금융지주
96,008930,한미사이언스
97,047050,포스코인터내셔널
98,000080,하이트진로
99,011780,금호석유
100,028670,팬오션
101,001450,현대해상
102,007310,오뚜기
103,247540,에코프로비엠
104,086900,메디톡스
105,047040,대우건설
106,000060,메리츠화재
107,240810,원익IPS
108,004370,농심
109,036490,SK머티리얼즈
110,069960,현대백화점
111,036830,솔브레인
112,145020,휴젤
113,002380,KCC
114,026960,동서
115,034230,파라다이스
116,039490,키움증권
117,051600,한전KPS
118,000880,한화
119,007700,F&F
120,204320,만도
121,010620,현대미포조선
122,017800,현대엘리베이
123,012450,한화에어로스페이스
124,009240,한샘
125,181710,NHN
126,088350,한화생명
127,004800,효성
128,095700,제넥신
129,056190,에스에프에이
130,068760,셀트리온제약
131,084990,헬릭스미스
132,031430,신세계인터내셔날
133,138040,메리츠금융지주
134,111770,영원무역
135,214320,이노션
136,010120,LS산전
137,196170,알테오젠
138,013890,지누스
139,098460,고영
140,006280,녹십자
141,078340,컴투스
142,058470,리노공업
143,069620,대웅제약
144,034020,두산중공업
145,009420,한올바이오파마
146,039030,이오테크닉스
147,140410,메지온
148,010060,OCI
149,084850,아이티엠반도체
150,000990,DB하이텍
151,006260,LS
152,064350,현대로템
153,082270,젬백스
154,000240,한국테크놀로지그룹
155,000670,영풍
156,001740,SK네트웍스
157,178920,SKC코오롱PI
158,011210,현대위아
159,073240,금호타이어
160,014680,한솔케미칼
161,114090,GKL
162,011200,현대상선
163,009410,태영건설
164,030190,NICE평가정보
165,067630,에이치엘비생명과학
166,139130,DGB금융지주
167,241590,화승엔터프라이즈
168,046890,서울반도체
169,175330,JB금융지주
170,185750,종근당
171,000150,두산
172,020560,아시아나항공
173,120110,코오롱인더
174,003520,영진약품
175,161890,한국콜마
176,003690,코리안리
177,000250,삼천당제약
178,272210,한화시스템
179,004000,롯데정밀화학
180,005300,롯데칠성
181,001800,오리온홀딩스
182,280360,롯데제과
183,003240,태광산업
184,057050,현대홈쇼핑
185,042670,두산인프라코어
186,096530,씨젠
187,041960,코미팜
188,005440,현대그린푸드
189,010780,아이에스동서
190,213420,덕산네오룩스
191,215600,신라젠
192,036540,SFA반도체
193,005250,녹십자홀딩스
194,049770,동원F&B
195,005290,동진쎄미켐
196,336370,두산솔루스
197,064760,티씨케이
198,028150,GS홈쇼핑
199,192080,더블유게임즈
200,214370,케어젠
201,003000,부광약품
202,307950,현대오토에버
203,035900,JYP Ent.
204,298380,에이비엘바이오
205,008060,대덕전자
206,294870,HDC현대산업개발
207,034310,NICE
208,192820,코스맥스
209,032350,롯데관광개발
210,284740,쿠쿠홈시스
211,086450,동국제약
212,214150,클래시스
213,200130,콜마비앤에이치
214,218410,RFHIC
215,023590,다우기술
216,170900,동아에스티
217,069260,휴켐스
218,018250,애경산업
219,005850,에스엘
220,052690,한전기술
221,022100,포스코 ICT
222,041510,에스엠
223,085620,미래에셋생명
224,093370,후성
225,278280,천보
226,060250,NHN한국사이버결제
227,285130,SK케미칼
228,033640,네패스
229,006040,동원산업
230,016380,동부제철
231,001680,대상
232,033660,아주캐피탈
233,115390,락앤락
234,085660,차바이오텍
235,018670,SK가스
236,006060,화승인더
237,001820,삼화콘덴서
238,097520,엠씨넥스
239,090460,비에이치
240,298020,효성티앤씨
241,067160,아프리카TV
242,003380,하림지주
243,003230,삼양식품
244,267980,매일유업
245,002350,넥센타이어
246,078130,국일제지
247,003090,대웅
248,112610,씨에스윈드
249,078070,유비쿼스홀딩스
250,192400,쿠쿠홀딩스
251,115450,지트리비앤티
252,025980,아난티
253,020000,한섬
254,066970,엘앤에프
255,237690,에스티팜
256,005610,SPC삼립
257,053800,안랩
258,079550,LIG넥스원
259,064960,S&T모티브
260,006650,대한유화
261,268600,셀리버리
262,014820,동원시스템즈
263,035600,KG이니시스
264,039200,오스코텍
265,103140,풍산
266,122870,와이지엔터테인먼트
267,069080,웹젠
268,108320,실리콘웍스
269,039840,디오
270,112040,위메이드
271,001630,종근당홀딩스
272,012630,HDC
273,105630,한세실업
274,003850,보령제약
275,086520,에코프로
276,210980,SK디앤디
277,089590,제주항공
278,082640,동양생명
279,036420,제이콘텐트리
280,091700,파트론
281,058820,CMG제약
282,151910,나노스
283,001060,JW중외제약
284,009970,영원무역홀딩스
285,178320,서진시스템
286,000640,동아쏘시오홀딩스
287,060720,KH바텍
288,079160,CJ CGV
289,215200,메가스터디교육
290,039130,하나투어
291,005180,빙그레
292,071840,롯데하이마트
293,235980,메드팩토
294,003470,유안타증권
295,048260,오스템임플란트
296,003800,에이스침대
297,141080,레고켐바이오
298,145720,덴티움
299,083790,크리스탈
300,286940,롯데정보통신
301,042700,한미반도체
302,034830,한국토지신탁
303,003540,대신증권
304,009450,경동나비엔
305,033180,필룩스
306,007390,네이처셀
307,001440,대한전선
308,000400,롯데손해보험
309,068240,다원시스
310,095610,테스
311,005690,파미셀
312,001720,신영증권
313,044340,위닉스
314,131970,테스나
315,078160,메디포스트
316,033290,코웰패션
317,071320,지역난방공사
318,092040,아미코젠
319,230240,에치에프알
320,029960,코엔텍
321,004490,세방전지
322,230360,에코마케팅
323,001230,동국제강
324,008490,서흥
325,001120,LG상사
326,084370,유진테크
327,017810,풀무원
328,023890,한국아트라스비엑스
329,108230,톱텍
330,027410,BGF
331,038540,상상인
332,031390,녹십자셀
333,183490,엔지켐생명과학
334,148150,세경하이테크
335,008350,남선알미늄
336,265520,AP시스템
337,267270,현대건설기계
338,042000,카페24
339,272290,이녹스첨단소재
340,000070,삼양홀딩스
341,138080,오이솔루션
342,237880,클리오
343,006120,SK디스커버리
344,214450,파마리서치프로덕트
345,271980,제일약품
346,108670,LG하우시스
347,005880,대한해운
348,019680,대교
349,006390,한일현대시멘트
350,048410,현대바이오
351,034120,SBS
352,011160,두산건설
353,290510,코리아센터
354,019170,신풍제약
355,336260,두산퓨얼셀
356,243070,휴온스
357,043150,바텍
358,006730,서부T&D
359,024720,한국콜마홀딩스
360,263050,유틸렉스
361,200230,텔콘RF제약
362,074600,원익QnC
363,007570,일양약품
364,084680,이월드
365,145990,삼양사
366,003530,한화투자증권
367,001430,세아베스틸
368,010050,우리종금
369,281820,케이씨텍
370,122990,와이솔
371,025900,동화기업
372,101490,에스앤에스텍
373,298050,효성첨단소재
374,095660,네오위즈
375,002320,한진
376,126560,현대에이치씨엔
377,007460,에이프로젠 KIC
378,026890,디피씨
379,093050,LF
380,017960,한국카본
381,272450,진에어
382,081000,일진다이아
383,228760,지노믹트리
384,053210,스카이라이프
385,060980,한라홀딩스
386,002270,롯데푸드
387,030530,원익홀딩스
388,192650,드림텍
389,290650,엘앤씨바이오
390,319660,피에스케이
391,037560,LG헬로비전
392,060570,드림어스컴퍼니
393,293480,하나제약
394,097230,한진중공업
395,268280,미원에스씨
396,226320,잇츠한불
397,102710,이엔에프테크놀로지
398,015350,부산가스
399,068400,SK렌터카
400,025860,남해화학
401,072710,농심홀딩스
402,096760,JW홀딩스
403,003060,에이프로젠제약
404,025540,한국단자
405,048530,인트론바이오
406,017390,서울가스
407,298000,효성화학
408,014830,유니드
