,코드,종목명
0,005930,삼성전자
1,000660,SK하이닉스
2,207940,삼성바이오로직스
3,035420,NAVER
4,051910,LG화학
5,005380,현대차
6,068270,셀트리온
7,006400,삼성SDI
8,012330,현대모비스
9,028260,삼성물산
10,051900,LG생활건강
11,017670,SK텔레콤
12,005490,POSCO
13,035720,카카오
14,000270,기아차
15,015760,한국전력
16,036570,엔씨소프트
17,034730,SK
18,018260,삼성에스디에스
19,003550,LG
20,033780,KT&G
21,096770,SK이노베이션
22,066570,LG전자
23,009150,삼성전기
24,090430,아모레퍼시픽
25,091990,셀트리온헬스케어
26,010130,고려아연
27,010950,S-Oil
28,251270,넷마블
29,009540,한국조선해양
30,011170,롯데케미칼
31,030200,KT
32,032640,LG유플러스
33,018880,한온시스템
34,002790,아모레G
35,034220,LG디스플레이
36,021240,코웨이
37,035250,강원랜드
38,086280,현대글로비스
39,267250,현대중공업지주
40,000720,현대건설
41,097950,CJ제일제당
42,271560,오리온
43,078930,GS
44,028300,에이치엘비
45,010140,삼성중공업
46,003670,포스코케미칼
47,180640,한진칼
48,011070,LG이노텍
49,008770,호텔신라
50,004020,현대제철
51,161390,한국타이어앤테크놀로지
52,128940,한미약품
53,000120,CJ대한통운
54,012750,에스원
55,004990,롯데지주
56,009830,한화솔루션
57,139480,이마트
58,035760,CJ ENM
59,028050,삼성엔지니어링
60,000100,유한양행
61,012510,더존비즈온
62,023530,롯데쇼핑
63,241560,두산밥캣
64,007070,GS리테일
65,036460,한국가스공사
66,282330,BGF리테일
67,047810,한국항공우주
68,000210,대림산업
69,003410,쌍용양회
70,004170,신세계
71,001040,CJ
72,042660,대우조선해양
73,081660,휠라홀딩스
74,263750,펄어비스
75,020150,일진머티리얼즈
76,030000,제일기획
77,253450,스튜디오드래곤
78,006360,GS건설
79,003490,대한항공
80,032500,케이엠더블유
81,011790,SKC
82,008930,한미사이언스
83,047050,포스코인터내셔널
84,000080,하이트진로
85,011780,금호석유
86,028670,팬오션
87,007310,오뚜기
88,247540,에코프로비엠
89,086900,메디톡스
90,047040,대우건설
91,240810,원익IPS
92,004370,농심
93,036490,SK머티리얼즈
94,069960,현대백화점
95,036830,솔브레인
96,145020,휴젤
97,002380,KCC
98,026960,동서
99,034230,파라다이스
100,051600,한전KPS
101,000880,한화
102,007700,F&F
103,204320,만도
104,010620,현대미포조선
105,017800,현대엘리베이
106,012450,한화에어로스페이스
107,009240,한샘
108,181710,NHN
109,004800,효성
110,095700,제넥신
111,056190,에스에프에이
112,068760,셀트리온제약
113,084990,헬릭스미스
114,031430,신세계인터내셔날
115,111770,영원무역
116,214320,이노션
117,010120,LS산전
118,196170,알테오젠
119,013890,지누스
120,098460,고영
121,006280,녹십자
122,078340,컴투스
123,058470,리노공업
124,069620,대웅제약
125,034020,두산중공업
126,009420,한올바이오파마
127,039030,이오테크닉스
128,140410,메지온
129,010060,OCI
130,084850,아이티엠반도체
131,000990,DB하이텍
132,006260,LS
133,064350,현대로템
134,082270,젬백스
135,000240,한국테크놀로지그룹
136,000670,영풍
137,001740,SK네트웍스
138,178920,SKC코오롱PI
139,011210,현대위아
140,073240,금호타이어
141,014680,한솔케미칼
142,114090,GKL
143,011200,현대상선
144,009410,태영건설
145,030190,NICE평가정보
146,067630,에이치엘비생명과학
147,241590,화승엔터프라이즈
148,046890,서울반도체
149,185750,종근당
150,000150,두산
151,020560,아시아나항공
152,120110,코오롱인더
153,003520,영진약품
154,161890,한국콜마
155,000250,삼천당제약
156,272210,한화시스템
157,004000,롯데정밀화학
158,005300,롯데칠성
159,001800,오리온홀딩스
160,280360,롯데제과
161,003240,태광산업
162,057050,현대홈쇼핑
163,042670,두산인프라코어
164,096530,씨젠
165,041960,코미팜
166,005440,현대그린푸드
167,010780,아이에스동서
168,213420,덕산네오룩스
169,215600,신라젠
170,036540,SFA반도체
171,005250,녹십자홀딩스
172,049770,동원F&B
173,005290,동진쎄미켐
174,336370,두산솔루스
175,064760,티씨케이
176,028150,GS홈쇼핑
177,192080,더블유게임즈
178,214370,케어젠
179,003000,부광약품
180,307950,현대오토에버
181,035900,JYP Ent.
182,298380,에이비엘바이오
183,008060,대덕전자
184,294870,HDC현대산업개발
185,034310,NICE
186,192820,코스맥스
187,032350,롯데관광개발
188,284740,쿠쿠홈시스
189,086450,동국제약
190,214150,클래시스
191,200130,콜마비앤에이치
192,218410,RFHIC
193,023590,다우기술
194,170900,동아에스티
195,069260,휴켐스
196,018250,애경산업
197,005850,에스엘
198,052690,한전기술
199,022100,포스코 ICT
200,041510,에스엠
201,093370,후성
202,278280,천보
203,060250,NHN한국사이버결제
204,285130,SK케미칼
205,033640,네패스
206,006040,동원산업
207,016380,동부제철
208,001680,대상
209,115390,락앤락
210,085660,차바이오텍
211,018670,SK가스
212,006060,화승인더
213,001820,삼화콘덴서
214,097520,엠씨넥스
215,090460,비에이치
216,298020,효성티앤씨
217,067160,아프리카TV
218,003380,하림지주
219,003230,삼양식품
220,267980,매일유업
221,002350,넥센타이어
222,078130,국일제지
223,003090,대웅
224,112610,씨에스윈드
225,078070,유비쿼스홀딩스
226,192400,쿠쿠홀딩스
227,115450,지트리비앤티
228,025980,아난티
229,020000,한섬
230,066970,엘앤에프
231,237690,에스티팜
232,005610,SPC삼립
233,053800,안랩
234,079550,LIG넥스원
235,064960,S&T모티브
236,006650,대한유화
237,268600,셀리버리
238,014820,동원시스템즈
239,035600,KG이니시스
240,039200,오스코텍
241,103140,풍산
242,122870,와이지엔터테인먼트
243,069080,웹젠
244,108320,실리콘웍스
245,039840,디오
246,112040,위메이드
247,001630,종근당홀딩스
248,012630,HDC
249,105630,한세실업
250,003850,보령제약
251,086520,에코프로
252,210980,SK디앤디
253,089590,제주항공
254,036420,제이콘텐트리
255,091700,파트론
256,058820,CMG제약
257,151910,나노스
258,001060,JW중외제약
259,009970,영원무역홀딩스
260,178320,서진시스템
261,000640,동아쏘시오홀딩스
262,060720,KH바텍
263,079160,CJ CGV
264,215200,메가스터디교육
265,039130,하나투어
266,005180,빙그레
267,071840,롯데하이마트
268,235980,메드팩토
269,048260,오스템임플란트
270,003800,에이스침대
271,141080,레고켐바이오
272,145720,덴티움
273,083790,크리스탈
274,286940,롯데정보통신
275,042700,한미반도체
276,009450,경동나비엔
277,033180,필룩스
278,007390,네이처셀
279,001440,대한전선
280,068240,다원시스
281,095610,테스
282,005690,파미셀
283,044340,위닉스
284,131970,테스나
285,078160,메디포스트
286,033290,코웰패션
287,071320,지역난방공사
288,092040,아미코젠
289,230240,에치에프알
290,029960,코엔텍
291,004490,세방전지
292,230360,에코마케팅
293,001230,동국제강
294,008490,서흥
295,001120,LG상사
296,084370,유진테크
297,017810,풀무원
298,023890,한국아트라스비엑스
299,108230,톱텍
300,027410,BGF
301,038540,상상인
302,031390,녹십자셀
303,183490,엔지켐생명과학
304,148150,세경하이테크
305,008350,남선알미늄
306,265520,AP시스템
307,267270,현대건설기계
308,042000,카페24
309,272290,이녹스첨단소재
310,000070,삼양홀딩스
311,138080,오이솔루션
312,237880,클리오
313,006120,SK디스커버리
314,214450,파마리서치프로덕트
315,271980,제일약품
316,108670,LG하우시스
317,005880,대한해운
318,019680,대교
319,006390,한일현대시멘트
320,048410,현대바이오
321,034120,SBS
322,011160,두산건설
323,290510,코리아센터
324,019170,신풍제약
325,336260,두산퓨얼셀
326,243070,휴온스
327,043150,바텍
328,006730,서부T&D
329,024720,한국콜마홀딩스
330,263050,유틸렉스
331,200230,텔콘RF제약
332,074600,원익QnC
333,007570,일양약품
334,084680,이월드
335,145990,삼양사
336,001430,세아베스틸
337,281820,케이씨텍
338,122990,와이솔
339,025900,동화기업
340,101490,에스앤에스텍
341,298050,효성첨단소재
342,095660,네오위즈
343,002320,한진
344,126560,현대에이치씨엔
345,007460,에이프로젠 KIC
346,026890,디피씨
347,093050,LF
348,017960,한국카본
349,272450,진에어
350,081000,일진다이아
351,228760,지노믹트리
352,053210,스카이라이프
353,060980,한라홀딩스
354,002270,롯데푸드
355,030530,원익홀딩스
356,192650,드림텍
357,290650,엘앤씨바이오
358,319660,피에스케이
359,037560,LG헬로비전
360,060570,드림어스컴퍼니
361,293480,하나제약
362,097230,한진중공업
363,268280,미원에스씨
364,226320,잇츠한불
365,102710,이엔에프테크놀로지
366,015350,부산가스
367,068400,SK렌터카
368,025860,남해화학
369,072710,농심홀딩스
370,096760,JW홀딩스
371,003060,에이프로젠제약
372,025540,한국단자
373,048530,인트론바이오
374,017390,서울가스
375,298000,효성화학
376,014830,유니드
377,095720,웅진씽크빅
378,013120,동원개발
379,061970,엘비세미콘
380,089600,나스미디어
381,082920,비츠로셀
382,088800,에이스테크
383,166090,하나머티리얼즈
384,002960,한국쉘석유
385,052260,SK바이오랜드
386,267260,현대일렉트릭
387,038500,삼표시멘트
388,005500,삼진제약
389,006840,AK홀딩스
390,002210,동성제약
391,122900,아이마켓코리아
392,002240,고려제강
393,004690,삼천리
394,215000,골프존
395,322000,현대에너지솔루션
396,051370,인터플렉스
397,213500,한솔제지
398,100120,뷰웍스
399,016800,퍼시스
400,050890,쏠리드
401,249420,일동제약
402,012610,경인양행
403,009290,광동제약
404,047310,파워로직스
405,018290,브이티지엠피
406,086390,유니테스트
