,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,2010,Y,005930,1546303,519635,166210,74651,77001,5811,17554,10799,22671,193287,31821,0,161465,157990,3475,1342887,614026,133645,213088,97914,728862,529646,27794,449397,399447,84297,242048,49949,893491,855896,8975,44039,850146,37595,238268,161465,186830,108474,5465,45947,-56680,-7400,-239849,31066,270915,216192,0,-1523,21901,4248,-19176,-3585,101499,97914
1,2010,Y,000660,120987,47795,32731,813,4415,3505,9143,11313,3,26962,397,0,26565,26479,86,175843,56919,12649,17700,12474,118924,108169,5490,94148,53416,5114,25780,40732,81695,81698,29690,14147,36538,-4,59078,26565,33843,27371,902,2286,956,-26664,-47094,1331,48425,34210,0,-11404,11875,23279,0,383,12091,12474
2,2010,Y,207940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2010,Y,035420,17727,9394,6247,384,182,74,104,284,167,6436,1437,344,4947,4942,5,19759,11403,0,1689,5496,8355,3293,1279,6097,3902,230,2116,2196,13661,13661,241,1941,17882,1,5687,4947,1416,722,167,273,-404,0,-4156,7729,11885,1189,0,-574,2684,3259,0,256,5240,5496
4,2010,Y,051910,194715,39989,28399,1375,1829,613,4456,4771,555,28184,6187,0,21998,21583,415,126735,62917,21825,26024,13680,63818,58720,1801,48296,42774,12599,21613,5522,78438,77035,3695,11578,62539,1404,25072,0,8370,6542,179,1415,-5282,-4785,-16219,2994,19213,16172,0,-6244,2352,5796,-2800,2614,11066,13680
5,2010,Y,005380,1125897,265297,91177,8477,12415,9515,24596,18316,11002,104521,24692,0,79829,54413,25416,1180778,413680,115253,92381,93908,420971,288783,39482,813422,456043,121339,200531,354595,367356,0,14890,59612,197424,94700,168220,79829,78468,29867,8962,19564,29487,0,-176638,90231,266869,40376,0,15849,250766,228326,-6591,7312,86596,93908
6,2010,Y,068270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2010,Y,006400,51243,7904,2342,2967,3117,0,972,446,1508,4226,375,0,3851,3561,290,79336,24515,4841,7472,10663,54821,17270,789,17027,10984,318,7550,6043,62309,60512,2407,12558,33911,1797,4889,3851,5089,3586,169,2801,-1352,102,-2521,2776,5297,3986,0,-6228,547,6173,-602,-3674,14337,10663
8,2010,Y,012330,221440,42336,23309,712,850,565,2802,2423,8972,32523,7464,0,25059,25036,23,172509,83600,15676,39621,24492,88909,26458,6918,70628,56839,16131,35296,13789,101881,101712,4911,13615,82720,170,22874,25059,8002,2649,2037,9904,-283,0,-6629,1546,8175,4143,0,-2644,5794,7229,-1209,13377,11115,24492
9,2010,Y,028260,22187,2005,1623,572,53,48,102,66,-8,2170,481,0,1689,1689,0,64396,6205,612,3410,1499,58191,15225,6,21182,3861,0,2670,17321,43214,43214,125,2749,13645,0,2110,1689,901,613,0,77,-403,0,-1023,461,1484,1257,0,-852,174,1026,0,235,1264,1499
