,Date,구분,코드,매출,매출총이익,영업이익,금융수익,금융원가,이자비용,기타수익,기타비용,종속/관계기업손익,세전계속사업이익,법인세비용,중단영업이익,당기순이익,지배주주순이익,비지배주주순이익,자산총계,유동자산,재고자산,매출채권및,현금및현금성자산,비유동자산,유형자산,무형자산,부채총계,유동부채,단기차입금,매입채무및,비유동부채,자본총계,지배주주지분,자본금,자본잉여금,이익잉여금,비지배주주지분,영업활동현금흐름,당기손순익,현금유출없는비용가산,감가상각비,무형자산상각비,현금유입없는수익차감,운전자본변동,기타영업활동현금흐름,투자활동현금흐름,투자활동현금유입,투자활동현금유출,유형자산의증가,기타투자활동현금흐름,재무활동현금흐름,재무활동현금유입,재무활동현금유출,기타재무활동현금흐름,현금및현금성자산증가,기초현금및현금성자산,기말현금및현금성자산
0,201909,CY,005930,2297812,870802,314089,99604,79034,7194,17489,13971,5034,343210,93470,0,249741,246071,3668,13807512,7115615,1225965,1606147,1111534,6691898,4652889,610083,3585936,2590481,474042,1563324,995455,10221576,9908650,35900,176156,9879223,312927,480939,249741,411630,266250,11210,52972,-11246,-116212,-372255,74292,446545,233236,0,-184805,-31926,56177,-96705,-64831,1176365,1111534
1,201909,CY,000660,300018,122869,69068,18212,13264,2001,1189,1492,161,73873,18548,0,55325,55278,48,2554939,669306,206025,214579,58335,1885633,1487211,104302,654985,406038,43502,228265,248948,1899953,1899597,146308,165748,1698952,357,108704,55325,107252,73018,7596,8664,10393,-55605,-152871,40189,193060,156674,0,32488,86840,44093,-10260,-11372,69708,58335
2,201909,CY,207940,5666,1031,-37,311,362,276,3925,101,116,3851,756,0,3095,3095,0,234801,57837,14842,4229,979,176964,68409,866,69576,27052,3200,4925,42524,165225,165225,6616,99492,59409,0,-609,3095,2726,1217,65,4191,-1720,-521,2464,72295,69832,1679,0,-1840,500,2340,0,14,965,979
3,201909,CY,035420,63225,63225,7499,2086,1811,137,2520,1249,-1433,7612,4375,8,3247,4547,-1302,440206,218737,2434,48239,133438,221469,61426,13238,193159,122012,16679,48126,71148,247047,216968,660,62840,214631,30080,11791,3247,16915,2280,331,4731,2202,-5841,-13859,1425,15282,5489,0,-3294,5574,8223,-645,-1978,135415,133438
4,201909,CY,051910,285065,47365,12128,2751,4918,1963,4625,5998,152,8739,3143,0,5595,5113,482,1261227,514481,185404,194228,102979,746746,617934,84539,568317,306724,46411,216445,261593,692911,682136,15656,90984,594303,10774,20932,0,29613,16154,1256,1874,-8696,-6851,-60029,8145,68175,59905,0,28386,43418,10193,-4839,-10121,113100,102979
5,201909,CY,005380,1031529,170197,29422,7993,5452,3326,12209,15480,2751,31444,9341,0,22103,20459,1644,7434807,1912224,463618,302805,367671,3259899,1230494,198428,4436689,2026226,475736,688269,2410463,2998117,2755419,59560,167856,2678286,242697,16295,22103,162515,24915,13046,6989,-138248,-23086,-50828,14991,65819,35817,0,29895,245950,204838,-11218,-1274,368945,367671
6,201909,CY,068270,9884,5494,3079,190,129,142,166,144,6,3167,765,0,2402,2465,-62,145179,67643,8754,34042,18035,77537,35889,37754,36901,25215,10806,6944,11687,108278,103921,5101,31412,72075,4358,4752,2402,2751,450,1057,248,450,-603,-1246,4094,5456,1110,118,-1707,2686,4214,-179,1812,16222,18035
7,201909,CY,006400,97551,22114,6908,3626,3618,832,1235,1444,3085,9791,2776,0,7015,6615,400,784068,212905,73508,66173,52416,571163,201884,34117,285992,146796,52589,69552,139195,498075,485815,14268,201192,269053,12261,8446,7015,13613,6921,936,4925,-5457,-1801,-20952,3978,24929,23233,0,4141,16379,11568,-669,-8247,60664,52416
8,201909,CY,012330,372890,50374,23066,3353,2000,738,2208,1763,4288,29151,7831,0,21321,21234,87,1777949,825904,118074,267263,121595,952048,321112,36924,517250,345250,50610,227873,172000,1260699,1257553,19644,55840,1219089,3146,37552,21321,20263,7163,708,7962,7806,-3877,-18944,-5023,13923,6174,0,-4951,6499,6700,-4750,14882,106713,121595
9,201909,CY,028260,310348,36572,7850,1970,2596,1702,18864,8748,3522,20862,5867,0,14994,13824,1170,1750262,513592,72117,248497,93526,1236672,200189,42005,788712,485707,61788,206107,303005,961550,858309,764,418756,282094,103242,7125,14994,21176,5328,0,21759,-6754,-531,3885,30947,27062,4337,0,-16430,1703,14769,-3363,-4994,98521,93526
