Date,Close,Changes,ChangesRatio,Open,High,Low,Volume,Amount,Marcap
2001/01/02,520.95,16.33,3.24,503.31,521.34,500.97,"231,015","1,223,328,000,000",
2001/01/03,521.43,0.48,0.09,512.74,524.58,510.7,"324,584","1,583,403,000,000",
2001/01/04,558.02,36.59,7.02,551.53,567.16,550.91,"444,541","2,984,761,000,000",
2001/01/05,580.85,22.83,4.09,559.54,581.41,555.4,"578,286","3,569,582,000,000",
2001/01/08,586.65,5.8,1.0,573.72,587.91,572.48,"558,645","2,948,092,000,000",
2001/01/09,589.92,3.27,0.56,583.85,589.92,572.55,"558,968","2,833,998,000,000",
2001/01/10,560.81,-29.11,-4.93,586.63,593.86,560.81,"642,378","3,285,030,000,000",
2001/01/11,561.79,0.98,0.17,568.26,570.57,557.86,"518,789","2,721,732,000,000",
2001/01/12,587.87,26.08,4.64,578.95,601.09,578.95,"713,788","3,980,149,000,000",
2001/01/15,599.0,11.13,1.89,595.06,608.22,588.87,"611,962","3,407,840,000,000",
2001/01/16,603.42,4.42,0.74,600.68,608.51,588.42,"606,279","3,352,424,000,000",
2001/01/17,595.83,-7.59,-1.26,600.75,610.47,587.26,"501,660","3,078,571,000,000",
2001/01/18,604.05,8.22,1.38,597.15,612.9,596.66,"453,765","3,021,314,000,000",
2001/01/19,619.78,15.73,2.6,622.25,622.25,613.66,"432,454","3,002,558,000,000",
2001/01/22,627.45,7.67,1.24,622.52,627.45,614.08,"484,954","2,513,407,000,000",
2001/01/26,591.73,-35.72,-5.69,623.68,624.0,591.73,"443,737","2,603,229,000,000",
2001/01/29,596.54,4.81,0.81,592.75,598.11,587.42,"461,155","2,397,521,000,000",
2001/01/30,591.34,-5.2,-0.87,601.29,608.05,591.34,"498,673","2,418,190,000,000",
2001/01/31,617.91,26.57,4.49,594.76,617.91,593.54,"442,127","2,585,503,000,000",
2001/02/01,612.3,-5.61,-0.91,606.49,620.78,605.42,"396,007","2,211,415,000,000",
2001/02/02,608.48,-3.82,-0.62,614.51,616.67,602.13,"345,289","1,794,823,000,000",
2001/02/05,579.16,-29.32,-4.82,594.91,595.47,575.58,"354,074","1,897,013,000,000",
2001/02/06,586.58,7.42,1.28,577.25,587.23,573.52,"326,302","1,608,178,000,000",
2001/02/07,576.19,-10.39,-1.77,584.93,584.93,574.44,"322,721","1,469,919,000,000",
2001/02/08,591.57,15.38,2.67,577.12,591.66,577.12,"282,243","1,726,606,000,000",
2001/02/09,595.47,3.9,0.66,588.36,598.97,581.49,"374,564","2,030,005,000,000",
2001/02/12,599.2,3.73,0.63,587.62,602.9,584.37,"318,923","1,895,873,000,000",
2001/02/13,598.78,-0.42,-0.07,603.15,605.35,594.41,"336,731","1,990,403,000,000",
2001/02/14,603.83,5.05,0.84,594.93,607.59,592.32,"413,235","2,151,929,000,000",
